algorithm,algorithm_type,data_size_bytes,network_condition,latency_ms,cpu_load_percent,available_memory_mb,key_size_bytes,output_size_bytes,time_taken_ms,success,best_choice_label
ML-KEM-768,encryption,1024,normal,45.2,23.5,4096.0,1184,1088,1.8,1,
ML-KEM-512,encryption,1024,fast,6.6,70.0,6475.58,800,768,4.236,1,
ML-KEM-512,encryption,1024,normal,33.63,31.6,6475.45,800,768,0.196,1,
ML-KEM-512,encryption,1024,slow,139.09,0.0,6475.45,800,768,0.24,1,
ML-KEM-512,encryption,1024,very_slow,288.68,9.1,6475.45,800,768,0.233,1,
ML-KEM-512,encryption,10240,fast,8.54,5.3,6475.45,800,768,0.354,1,
ML-KEM-512,encryption,10240,normal,43.37,5.3,6475.51,800,768,0.289,1,
ML-KEM-512,encryption,10240,slow,242.41,5.3,6475.51,800,768,0.285,1,
ML-KEM-512,encryption,10240,very_slow,412.67,13.6,6475.51,800,768,0.331,1,
ML-KEM-512,encryption,102400,fast,9.34,35.0,6475.54,800,768,1.035,1,
ML-KEM-512,encryption,102400,normal,57.37,10.0,6475.55,800,768,0.624,1,
ML-KEM-512,encryption,102400,slow,160.07,10.5,6475.55,800,768,0.61,1,
ML-KEM-512,encryption,102400,very_slow,547.36,15.0,6475.55,800,768,0.785,1,
ML-KEM-512,encryption,1048576,fast,5.53,10.0,6474.81,800,768,5.807,1,
ML-KEM-512,encryption,1048576,normal,56.43,5.3,6474.81,800,768,5.617,1,
ML-KEM-512,encryption,1048576,slow,107.58,5.0,6474.81,800,768,6.296,1,
ML-KEM-512,encryption,1048576,very_slow,309.08,0.0,6474.81,800,768,5.459,1,
ML-KEM-512,encryption,5242880,fast,19.28,5.0,6467.18,800,768,24.376,1,
ML-KEM-512,encryption,5242880,normal,75.11,20.0,6466.94,800,768,24.418,1,
ML-KEM-512,encryption,5242880,slow,137.04,5.3,6466.94,800,768,22.971,1,
ML-KEM-512,encryption,5242880,very_slow,417.76,5.0,6466.94,800,768,23.028,1,
ML-KEM-768,encryption,1024,fast,17.73,15.0,6466.94,1184,1088,0.381,1,
ML-KEM-768,encryption,1024,normal,21.49,0.0,6466.94,1184,1088,0.262,1,
ML-KEM-768,encryption,1024,slow,147.85,18.2,6466.94,1184,1088,0.211,1,
ML-KEM-768,encryption,1024,very_slow,516.42,0.0,6466.95,1184,1088,0.255,1,
ML-KEM-768,encryption,10240,fast,7.14,10.0,6466.95,1184,1088,0.361,1,
ML-KEM-768,encryption,10240,normal,49.82,5.0,6466.95,1184,1088,0.303,1,
ML-KEM-768,encryption,10240,slow,94.22,0.0,6466.95,1184,1088,0.309,1,
ML-KEM-768,encryption,10240,very_slow,429.85,5.0,6466.95,1184,1088,0.351,1,
ML-KEM-768,encryption,102400,fast,9.0,10.0,6466.95,1184,1088,0.846,1,
ML-KEM-768,encryption,102400,normal,31.1,5.0,6466.95,1184,1088,0.724,1,
ML-KEM-768,encryption,102400,slow,119.2,0.0,6466.95,1184,1088,0.663,1,
ML-KEM-768,encryption,102400,very_slow,361.96,10.0,6466.95,1184,1088,0.668,1,
ML-KEM-768,encryption,1048576,fast,12.04,9.5,6466.96,1184,1088,5.275,1,
ML-KEM-768,encryption,1048576,normal,21.42,0.0,6466.96,1184,1088,4.128,1,
