algorithm,size_bytes,latency_ms,cpu_percent,timestamp,label,network_latency_ms,total_latency_ms
ML-DSA-44,1024,0.8428,55.0,2026-06-20 10:36:21,normal,9.64,10.482800000000001
ML-DSA-44,102400,1.631,50.0,2026-06-20 10:36:21,normal,14.25,15.881
ML-DSA-44,512000,6.9158,52.4,2026-06-20 10:36:21,normal,1.3,8.2158
ML-DSA-44,1048576,10.6537,55.0,2026-06-20 10:36:21,normal,1.9,12.553700000000001
ML-DSA-44,5242880,86.2598,85.0,2026-06-20 10:36:22,normal,13.07,99.3298
ML-DSA-65,1024,1.0884,100.0,2026-06-20 10:36:22,normal,14.34,15.4284
ML-DSA-65,102400,4.4367,100.0,2026-06-20 10:36:22,normal,12.58,17.0167
ML-DSA-65,512000,14.4012,100.0,2026-06-20 10:36:22,normal,2.73,17.1312
ML-DSA-65,1048576,9.5365,68.4,2026-06-20 10:36:22,normal,6.61,16.1465
ML-DSA-65,5242880,49.6051,55.0,2026-06-20 10:36:22,normal,13.35,62.9551
ML-DSA-87,1024,1.0579,55.0,2026-06-20 10:36:22,normal,11.37,12.4279
ML-DSA-87,102400,6.7401,90.5,2026-06-20 10:36:22,normal,4.59,11.3301
ML-DSA-87,512000,10.9785,100.0,2026-06-20 10:36:22,normal,6.29,17.2685
ML-DSA-87,1048576,24.3721,100.0,2026-06-20 10:36:23,normal,13.36,37.7321
ML-DSA-87,5242880,46.9308,89.5,2026-06-20 10:36:23,normal,10.41,57.3408
